Log file started: 2022-08-24 11:38:41.563604
2022-08-24 11:38:43 NOTICE:  Continuous- InitialValue: 5.0 InputHigh: 5.0 InputLow: 5.0
2022-08-24 11:38:45 NOTICE:  MA: 5 Gain: 2.404 Offset: -1.28
2022-08-24 11:38:45 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:45 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:46 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:47 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:48 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:49 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:49 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:49 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:50 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:50 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:50 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:51 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:51 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:51 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:52 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:52 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:52 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:52 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:53 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:53 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:53 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:54 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:54 ERROR:  local variable 'measurementCount' referenced before assignment
