sep=;
"Time";"GrossWeight";"NetWeight";"TareWeight";"CastingRate";"Position"
"2022-12-06 08:49:10";82.475;34.425;48.05;3.093;1
"2022-12-06 08:50:20";82.107;34.057;48.05;3.061;1
"2022-12-06 08:51:30";78.718;30.668;48.05;3.061;1
"2022-12-06 08:52:40";75.236;27.186;48.05;3.061;1
"2022-12-06 08:53:50";76.029;27.979;48.05;3.061;1
"2022-12-06 08:55:00";81.246;33.196;48.05;3.098;1
"2022-12-06 08:56:10";81.361;33.311;48.05;3.489;1
"2022-12-06 08:57:20";80.857;32.807;48.05;3.768;1
"2022-12-06 08:58:30";80.014;31.964;48.05;4.024;1
"2022-12-06 08:59:40";79.043;30.993;48.05;4.085;1
"2022-12-06 09:00:50";79.521;31.471;48.05;4.085;1
"2022-12-06 09:02:00";80.532;32.482;48.05;4.085;1
"2022-12-06 09:03:10";79.086;31.036;48.05;4.085;1
"2022-12-06 09:04:20";79.364;31.314;48.05;4.085;1
"2022-12-06 09:05:30";80.432;32.382;48.05;4.085;1
"2022-12-06 09:06:40";79.025;30.975;48.05;4.085;1
"2022-12-06 09:07:50";79.75;31.7;48.05;4.085;1
"2022-12-06 09:09:00";80.436;32.386;48.05;4.085;1
"2022-12-06 09:10:10";78.993;30.943;48.05;4.085;1
"2022-12-06 09:11:20";79.532;31.482;48.05;4.085;1
"2022-12-06 09:12:30";80.45;32.4;48.05;4.085;1
"2022-12-06 09:13:40";79.025;30.975;48.05;4.085;1
"2022-12-06 09:14:50";79.811;31.761;48.05;4.085;1
"2022-12-06 09:16:00";80.186;32.136;48.05;4.085;1
"2022-12-06 09:17:10";78.814;30.764;48.05;4.085;1
"2022-12-06 09:18:20";80.164;32.114;48.05;4.085;1
"2022-12-06 09:19:30";79.893;31.843;48.05;4.085;1
"2022-12-06 09:20:40";78.825;30.775;48.05;4.085;1
"2022-12-06 09:21:50";80.482;32.432;48.05;4.085;1
"2022-12-06 09:23:00";79.139;31.089;48.05;4.085;1
"2022-12-06 09:24:10";79.621;31.571;48.05;4.085;1
"2022-12-06 09:25:20";80.432;32.382;48.05;4.085;1
"2022-12-06 09:26:30";78.971;30.921;48.05;4.085;1
"2022-12-06 09:27:40";80.029;31.979;48.05;4.085;1
"2022-12-06 09:28:50";79.925;31.875;48.05;4.085;1
"2022-12-06 09:30:00";78.882;30.832;48.05;4.085;1
"2022-12-06 09:31:10";80.2;32.15;48.05;4.085;1
"2022-12-06 09:32:20";79.989;31.939;48.05;4.085;1
"2022-12-06 09:33:30";78.861;30.811;48.05;4.085;1
"2022-12-06 09:34:40";80.268;32.218;48.05;4.085;1
"2022-12-06 09:35:50";79.707;31.657;48.05;4.085;1
"2022-12-06 09:37:00";78.95;30.9;48.05;4.085;1
"2022-12-06 09:38:10";80.311;32.261;48.05;4.085;1
"2022-12-06 09:39:20";79.707;31.657;48.05;4.085;1
"2022-12-06 09:40:30";79.075;31.025;48.05;4.085;1
"2022-12-06 09:41:40";80.489;32.439;48.05;4.085;1
"2022-12-06 09:42:50";79.339;31.289;48.05;4.085;1
"2022-12-06 09:44:00";79.193;31.143;48.05;4.085;1
"2022-12-06 09:45:10";80.457;32.407;48.05;4.085;1
"2022-12-06 09:46:20";79.086;31.036;48.05;4.085;1
"2022-12-06 09:47:30";79.554;31.504;48.05;4.085;1
"2022-12-06 09:48:40";80.4;32.35;48.05;4.085;1
"2022-12-06 09:49:50";78.786;30.736;48.05;4.085;1
"2022-12-06 09:51:00";80.121;32.071;48.05;4.085;1
"2022-12-06 09:52:10";79.754;31.704;48.05;4.085;1
"2022-12-06 09:53:20";78.911;30.861;48.05;4.085;1
"2022-12-06 09:54:30";80.3;32.25;48.05;4.085;1
"2022-12-06 09:55:40";79.914;31.864;48.05;4.085;1
"2022-12-06 09:56:50";78.911;30.861;48.05;4.085;1
"2022-12-06 09:58:00";80.268;32.218;48.05;4.085;1
"2022-12-06 09:59:10";79.971;31.921;48.05;4.085;1
"2022-12-06 10:00:20";80.532;32.482;48.05;4.085;1
"2022-12-06 10:01:30";81.636;33.586;48.05;3.985;1
"2022-12-06 10:02:40";82.089;34.039;48.05;3.636;1
"2022-12-06 10:03:50";81.221;33.171;48.05;3.28;1
"2022-12-06 10:05:00";77.839;29.789;48.05;3.064;1
"2022-12-06 10:06:10";74.282;26.232;48.05;3.061;1
"2022-12-06 10:07:20";72.454;24.404;48.05;3.061;1
"2022-12-06 10:08:30";75.596;27.546;48.05;3.061;1
"2022-12-06 10:09:40";76.375;28.325;48.05;3.222;1
"2022-12-06 10:10:50";76.604;28.554;48.05;3.686;1
"2022-12-06 10:12:00";78.207;30.157;48.05;4.073;1
"2022-12-06 10:13:10";78.993;30.943;48.05;4.085;1
"2022-12-06 10:14:20";78.279;30.229;48.05;4.085;1
"2022-12-06 10:15:30";79.621;31.571;48.05;4.085;1
"2022-12-06 10:16:40";79.721;31.671;48.05;4.085;1
"2022-12-06 10:17:50";78.214;30.164;48.05;4.085;1
"2022-12-06 10:19:00";79.05;31;48.05;4.085;1
"2022-12-06 10:20:10";80.004;31.954;48.05;4.085;1
"2022-12-06 10:21:20";78.568;30.518;48.05;4.085;1
"2022-12-06 10:22:30";78.425;30.375;48.05;4.085;1
"2022-12-06 10:23:40";79.975;31.925;48.05;3.818;1
"2022-12-06 10:24:50";79.414;31.364;48.05;3.575;1
"2022-12-06 10:26:00";78.179;30.129;48.05;3.575;1
"2022-12-06 10:27:10";79.161;31.111;48.05;3.575;1
"2022-12-06 10:28:20";80.054;32.004;48.05;3.575;1
"2022-12-06 10:29:30";78.936;30.886;48.05;3.575;1
"2022-12-06 10:30:40";78.257;30.207;48.05;3.575;1
"2022-12-06 10:31:50";79.264;31.214;48.05;3.575;1
"2022-12-06 10:33:00";80.071;32.021;48.05;3.575;1
"2022-12-06 10:34:10";79.075;31.025;48.05;3.575;1
"2022-12-06 10:35:20";78.129;30.079;48.05;3.575;1
"2022-12-06 10:36:30";79.286;31.236;48.05;3.575;1
"2022-12-06 10:37:40";79.918;31.868;48.05;3.575;1
"2022-12-06 10:38:50";78.536;30.486;48.05;3.575;1
"2022-12-06 10:40:00";78.696;30.646;48.05;3.575;1
"2022-12-06 10:41:10";80.043;31.993;48.05;3.575;1
"2022-12-06 10:42:20";78.8;30.75;48.05;3.794;1
"2022-12-06 10:43:30";78.296;30.246;48.05;4.085;1
"2022-12-06 10:44:40";79.911;31.861;48.05;4.085;1
"2022-12-06 10:45:50";79.364;31.314;48.05;4.085;1
"2022-12-06 10:47:00";78.275;30.225;48.05;4.085;1
"2022-12-06 10:48:10";79.057;31.007;48.05;4.085;1
"2022-12-06 10:49:20";79.943;31.893;48.05;4.085;1
"2022-12-06 10:50:30";78.539;30.489;48.05;4.085;1
"2022-12-06 10:51:40";78.625;30.575;48.05;4.085;1
"2022-12-06 10:52:50";79.932;31.882;48.05;4.085;1
"2022-12-06 10:54:00";79.296;31.246;48.05;4.085;1
"2022-12-06 10:55:10";78.164;30.114;48.05;4.085;1
"2022-12-06 10:56:20";79.339;31.289;48.05;4.085;1
"2022-12-06 10:57:30";79.786;31.736;48.05;4.085;1
"2022-12-06 10:58:40";78.225;30.175;48.05;4.085;1
"2022-12-06 10:59:50";78.8;30.75;48.05;4.085;1
"2022-12-06 11:01:00";80.011;31.961;48.05;4.085;1
"2022-12-06 11:02:10";78.896;30.846;48.05;4.085;1
"2022-12-06 11:03:20";78.286;30.236;48.05;4.085;1
"2022-12-06 11:04:30";79.761;31.711;48.05;4.085;1
"2022-12-06 11:05:40";79.729;31.679;48.05;4.085;1
"2022-12-06 11:06:50";78.404;30.354;48.05;4.085;1
"2022-12-06 11:08:00";78.711;30.661;48.05;4.085;1
"2022-12-06 11:09:10";79.907;31.857;48.05;4.085;1
"2022-12-06 11:10:20";79.646;31.596;48.05;4.085;1
"2022-12-06 11:11:30";80.061;32.011;48.05;3.897;1
"2022-12-06 11:12:40";81.007;32.957;48.05;3.541;1
"2022-12-06 11:13:50";81.746;33.696;48.05;3.191;1
"2022-12-06 11:15:00";81.996;33.946;48.05;3.061;1
"2022-12-06 11:16:10";81.846;33.796;48.05;3.061;1
"2022-12-06 11:17:20";79.021;30.971;48.05;3.061;1
"2022-12-06 11:18:30";75.521;27.471;48.05;3.061;1
"2022-12-06 11:19:40";74.611;26.561;48.05;3.061;1
"2022-12-06 11:20:50";79.279;31.229;48.05;3.061;1
"2022-12-06 11:22:00";78.611;30.561;48.05;3.31;1
"2022-12-06 11:23:10";78.507;30.457;48.05;3.791;1
"2022-12-06 11:24:20";79.882;31.832;48.05;4.085;1
"2022-12-06 11:25:30";78.35;30.3;48.05;4.085;1
"2022-12-06 11:26:40";79.104;31.054;48.05;4.085;1
"2022-12-06 11:27:50";79.396;31.346;48.05;4.085;1
"2022-12-06 11:29:00";78.179;30.129;48.05;4.085;1
"2022-12-06 11:30:10";79.693;31.643;48.05;4.085;1
"2022-12-06 11:31:20";79.139;31.089;48.05;4.085;1
"2022-12-06 11:32:30";78.429;30.379;48.05;4.085;1
"2022-12-06 11:33:40";79.893;31.843;48.05;4.085;1
"2022-12-06 11:34:50";78.354;30.304;48.05;4.085;1
"2022-12-06 11:36:00";79.014;30.964;48.05;4.085;1
"2022-12-06 11:37:10";79.693;31.643;48.05;4.085;1
"2022-12-06 11:38:20";77.993;29.943;48.05;4.085;1
"2022-12-06 11:39:30";79.054;31.004;48.05;4.085;1
"2022-12-06 11:40:40";79.654;31.604;48.05;4.085;1
"2022-12-06 11:41:50";78.236;30.186;48.05;4.085;1
"2022-12-06 11:43:00";78.982;30.932;48.05;4.085;1
"2022-12-06 11:44:10";79.907;31.857;48.05;4.085;1
"2022-12-06 11:45:20";78.221;30.171;48.05;4.085;1
"2022-12-06 11:46:30";79.236;31.186;48.05;4.085;1
"2022-12-06 11:47:40";79.443;31.393;48.05;4.085;1
"2022-12-06 11:48:50";78.182;30.132;48.05;4.085;1
"2022-12-06 11:50:00";79.65;31.6;48.05;4.085;1
"2022-12-06 11:51:10";79.036;30.986;48.05;4.085;1
"2022-12-06 11:52:20";78.325;30.275;48.05;4.085;1
"2022-12-06 11:53:30";79.889;31.839;48.05;4.085;1
"2022-12-06 11:54:40";78.511;30.461;48.05;4.085;1
"2022-12-06 11:55:50";78.571;30.521;48.05;4.085;1
"2022-12-06 11:57:00";79.875;31.825;48.05;4.085;1
"2022-12-06 11:58:10";78.707;30.657;48.05;4.085;1
"2022-12-06 11:59:20";78.671;30.621;48.05;4.085;1
"2022-12-06 12:00:30";79.807;31.757;48.05;4.085;1
"2022-12-06 12:01:40";78.271;30.221;48.05;4.085;1
"2022-12-06 12:02:50";78.882;30.832;48.05;4.085;1
"2022-12-06 12:04:00";79.832;31.782;48.05;4.085;1
"2022-12-06 12:05:10";78.232;30.182;48.05;4.085;1
"2022-12-06 12:06:20";79.279;31.229;48.05;4.085;1
"2022-12-06 12:07:30";79.361;31.311;48.05;4.085;1
"2022-12-06 12:08:40";78.136;30.086;48.05;4.085;1
"2022-12-06 12:09:50";79.832;31.782;48.05;4.085;1
"2022-12-06 12:11:00";78.4;30.35;48.05;4.085;1
"2022-12-06 12:12:10";78.561;30.511;48.05;4.085;1
"2022-12-06 12:13:20";79.821;31.771;48.05;4.085;1
"2022-12-06 12:14:30";78.768;30.718;48.05;4.085;1
